Lubor;13.09
Radka;14.09
Jolana;15.09
Lidmila;16.09
Ludmila;16.09
Naďa;17.09
Naděžda;17.09
Kryštof;18.09
Zita;19.09
Oleg;20.09
Matouš;21.09
Darina;22.09
Berta;23.09
Jaromír;24.09
Ľuboš;24.09
Zlata;25.09
Andrea;26.09
Jonáš;27.09
Vašek;28.09
Václav;28.09
Václava;28.09
Michael;29.09
Michal;29.09
Jeroným;30.09
Igor;01.10
Oliver;02.10
Olivie;02.10
Bohumil;03.10
František;04.10
Eliška;05.10
Hanuš;06.10
Justýna;07.10
Věra;08.10
Sára;09.10
Štefan;09.10
Marina;10.10
Andrej;11.10
Marcel;12.10
Renata;13.10
Renáta;13.10
Agáta;14.10
Tereza;15.10
Terezie;15.10
Havel;16.10
Hedvika;17.10
Lukáš;18.10
Michaela;19.10
Michala;19.10
Vendelín;20.10
Brigita;21.10
Sabina;22.10
Tea;23.10
Teodor;23.10
Nina;24.10
Beáta;25.10
Erik;26.10
Šarlota;27.10
Zoe;27.10
Založení ČSR;28.10
Silvia;29.10
Silvie;29.10
Sylva;29.10
Sylvie;29.10
Tadeáš;30.10
Štěpánka;31.10
Felix;01.11
Památka zesnulých;02.11
Hubert;03.11
Karel;04.11
Miriam;05.11
Liběna;06.11
Saskie;07.11
Bohumír;08.11
Bohdan;09.11
Evžen;10.11
Maroš;11.11
Martin;11.11
Benedikt;12.11
Tibor;13.11
Sáva;14.11
Leopold;15.11
Otmar;16.11
Mahulena;17.11
Romana;18.11
Alžběta;19.11
Nikol;20.11
Nikola;20.11
Albert;21.11
Cecílie;22.11
Klement;23.11
Emílie;24.11
Katarína;25.11
Kateřina;25.11
Artur;26.11
Xenie;27.11
René;28.11
Zina;29.11
Ondřej;30.11
Iva;01.12
Bibiana;02.12
Blanka;02.12
Svatoslav;03.12
Barbara;04.12
Barbora;04.12
Jitka;05.12
Mikuláš;06.12
Ambrož;07.12
Benjamín;07.12
Květoslava;08.12
Vratislav;09.12
Julie;10.12
Radúz;10.12
Dana;11.12
Danuše;11.12
Simona;12.12
Šimona;12.12
Lucia;13.12
Lucie;13.12
Lýdie;14.12
Radan;15.12
Radana;15.12
Albína;16.12
Dan;17.12
Daniel;17.12
Miloslav;18.12
Ester;19.12
Dagmar;20.12
Natálie;21.12
Šimon;22.12
Vlasta;23.12
Adam;24.12
Eva;24.12
Boží hod vánoční;25.12
Štěpán;26.12
Žaneta;27.12
Bohumila;28.12
Judita;29.12
David;30.12
Dávid;30.12
Silvestr;31.12
